id,kategori,sub_kategori,pertanyaan,opsiA,opsiB,opsiC,opsiD,kunci
324,Literasi Digital,Etika Digital,(Kecamatan X) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Menyebarluaskan agar rekan lain mengetahui,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Unggah ke grup komunitas umum,Simpan di perangkat pribadi untuk arsip,B
325,Literasi Digital,Etika Digital,(Kecamatan Y) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Menyebarluaskan agar rekan lain mengetahui,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Unggah ke grup komunitas umum,Simpan di perangkat pribadi untuk arsip,B
326,Literasi Digital,Manajemen Informasi,(Kecamatan Z) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Gabungkan semua data dalam satu file besar,Simpan di perangkat masing-masing,Repositori terpusat dengan kontrol versi dan standar penamaan,Hapus data lama yang tidak populer,C
327,Literasi Digital,Etika Digital,(Desa 1) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Simpan di perangkat pribadi untuk arsip,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Unggah ke grup komunitas umum,Menyebarluaskan agar rekan lain mengetahui,B
328,Literasi Digital,Keamanan Data,(Desa 2) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,Mengirim via pesan instan pribadi,Unggah ke media sosial unit,Membagikan seluruh data agar transparan,"Anonimisasi, pembatasan akses, dan pencatatan izin",D
329,Literasi Digital,Keamanan Data,(Desa 3) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,Mengirim via pesan instan pribadi,Membagikan seluruh data agar transparan,"Anonimisasi, pembatasan akses, dan pencatatan izin",Unggah ke media sosial unit,C
330,Literasi Digital,Inovasi Digital,(Desa 4) Anda mengusulkan dashboard GIS untuk memantau progres uji material. Langkah pengembangan tepat adalah ....,Tiru dashboard instansi lain,Kumpulkan semua fitur sekaligus,"Bangun MVP, uji pengguna, dan iterasi",Tunda sampai ada vendor,C
331,Literasi Digital,Etika Digital,(Kelurahan A) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Menyebarluaskan agar rekan lain mengetahui,Simpan di perangkat pribadi untuk arsip,Unggah ke grup komunitas umum,A
332,Literasi Digital,Manajemen Informasi,(Kelurahan B) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Gabungkan semua data dalam satu file besar,Repositori terpusat dengan kontrol versi dan standar penamaan,Simpan di perangkat masing-masing,Hapus data lama yang tidak populer,B
333,Literasi Digital,Manajemen Informasi,(Kelurahan C) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Repositori terpusat dengan kontrol versi dan standar penamaan,Gabungkan semua data dalam satu file besar,Hapus data lama yang tidak populer,Simpan di perangkat masing-masing,A
334,Literasi Digital,Keamanan Data,(Kecamatan X) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,"Anonimisasi, pembatasan akses, dan pencatatan izin",Mengirim via pesan instan pribadi,Unggah ke media sosial unit,Membagikan seluruh data agar transparan,A
335,Literasi Digital,Etika Digital,(Kecamatan Y) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Simpan di perangkat pribadi untuk arsip,Menyebarluaskan agar rekan lain mengetahui,Unggah ke grup komunitas umum,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,D
336,Literasi Digital,Etika Digital,(Kecamatan Z) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Simpan di perangkat pribadi untuk arsip,Unggah ke grup komunitas umum,Menyebarluaskan agar rekan lain mengetahui,A
337,Literasi Digital,Etika Digital,(Desa 1) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Unggah ke grup komunitas umum,Simpan di perangkat pribadi untuk arsip,Menyebarluaskan agar rekan lain mengetahui,A
338,Literasi Digital,Etika Digital,(Desa 2) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Unggah ke grup komunitas umum,Menyebarluaskan agar rekan lain mengetahui,Simpan di perangkat pribadi untuk arsip,A
339,Literasi Digital,Inovasi Digital,(Desa 3) Anda mengusulkan dashboard GIS untuk memantau progres pengawasan pekerjaan. Langkah pengembangan tepat adalah ....,"Bangun MVP, uji pengguna, dan iterasi",Tiru dashboard instansi lain,Tunda sampai ada vendor,Kumpulkan semua fitur sekaligus,A
340,Literasi Digital,Keamanan Data,(Desa 4) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,"Anonimisasi, pembatasan akses, dan pencatatan izin",Mengirim via pesan instan pribadi,Unggah ke media sosial unit,Membagikan seluruh data agar transparan,A
341,Preferensi Karier,Refleksi Diri,"(Kelurahan A) Ketika menerima umpan balik kritis dari pimpinan, saya akan ....",Menceritakan kepada rekan untuk pembelaan,Membantah agar pendapat saya diterima,"Menerima terbuka, mengevaluasi, dan memperbaiki kinerja",Mengabaikan jika berbeda pendapat,C
342,Preferensi Karier,Orientasi Pelayanan,(Kelurahan B) Saya merasa paling bermakna dalam melaksanakan tugas ketika ....,Hasil kerja dirasakan langsung manfaatnya oleh masyarakat,Ada kesempatan perjalanan dinas,Mendapatkan penilaian kinerja tinggi,Mendapatkan penghargaan pribadi,A
343,Preferensi Karier,Nilai ASN,"(Kelurahan C) Saat menghadapi konflik kepentingan, saya akan ....",Mengutamakan hubungan pertemanan,Netral dengan tidak mengambil keputusan,Berpegang pada peraturan dan kepentingan publik,Menunggu arahan tidak resmi,C
344,Preferensi Karier,Nilai ASN,"(Kecamatan X) Saat menghadapi konflik kepentingan, saya akan ....",Netral dengan tidak mengambil keputusan,Menunggu arahan tidak resmi,Berpegang pada peraturan dan kepentingan publik,Mengutamakan hubungan pertemanan,C
345,Preferensi Karier,Nilai ASN,"(Kecamatan Y) Saat menghadapi konflik kepentingan, saya akan ....",Netral dengan tidak mengambil keputusan,Berpegang pada peraturan dan kepentingan publik,Menunggu arahan tidak resmi,Mengutamakan hubungan pertemanan,B
346,Preferensi Karier,Nilai ASN,"(Kecamatan Z) Saat menghadapi konflik kepentingan, saya akan ....",Menunggu arahan tidak resmi,Mengutamakan hubungan pertemanan,Berpegang pada peraturan dan kepentingan publik,Netral dengan tidak mengambil keputusan,C
347,Preferensi Karier,Pengembangan Diri,"(Desa 1) Untuk meningkatkan kompetensi teknis, saya akan ....",Menunggu penugasan yang relevan,Menunda hingga ada waktu luang panjang,Mengikuti pelatihan/sertifikasi dan menerapkannya dalam pekerjaan,Mengandalkan pengalaman yang sudah ada,C
348,Preferensi Karier,Nilai ASN,"(Desa 2) Saat menghadapi konflik kepentingan, saya akan ....",Berpegang pada peraturan dan kepentingan publik,Mengutamakan hubungan pertemanan,Menunggu arahan tidak resmi,Netral dengan tidak mengambil keputusan,A
349,Preferensi Karier,Komitmen Organisasi,"(Desa 3) Dalam keterbatasan anggaran, saya akan ....",Menunda semua kegiatan,Mengupayakan efisiensi tanpa solusi,Mengurangi kualitas layanan publik,Mencari alternatif efisiensi dan berkoordinasi untuk menjaga sasaran,D
350,Preferensi Karier,Komitmen Organisasi,"(Desa 4) Dalam keterbatasan anggaran, saya akan ....",Menunda semua kegiatan,Mencari alternatif efisiensi dan berkoordinasi untuk menjaga sasaran,Mengupayakan efisiensi tanpa solusi,Mengurangi kualitas layanan publik,B
351,Preferensi Karier,Refleksi Diri,"(Kelurahan A) Ketika menerima umpan balik kritis dari pimpinan, saya akan ....",Mengabaikan jika berbeda pendapat,Membantah agar pendapat saya diterima,Menceritakan kepada rekan untuk pembelaan,"Menerima terbuka, mengevaluasi, dan memperbaiki kinerja",D
352,Preferensi Karier,Refleksi Diri,"(Kelurahan B) Ketika menerima umpan balik kritis dari pimpinan, saya akan ....",Menceritakan kepada rekan untuk pembelaan,Membantah agar pendapat saya diterima,"Menerima terbuka, mengevaluasi, dan memperbaiki kinerja",Mengabaikan jika berbeda pendapat,C
353,Preferensi Karier,Pengembangan Diri,"(Kelurahan C) Untuk meningkatkan kompetensi teknis, saya akan ....",Mengandalkan pengalaman yang sudah ada,Menunggu penugasan yang relevan,Menunda hingga ada waktu luang panjang,Mengikuti pelatihan/sertifikasi dan menerapkannya dalam pekerjaan,D
354,Preferensi Karier,Komitmen Organisasi,"(Kecamatan X) Dalam keterbatasan anggaran, saya akan ....",Mencari alternatif efisiensi dan berkoordinasi untuk menjaga sasaran,Mengupayakan efisiensi tanpa solusi,Menunda semua kegiatan,Mengurangi kualitas layanan publik,A
355,Preferensi Karier,Nilai ASN,"(Kecamatan Y) Saat menghadapi konflik kepentingan, saya akan ....",Netral dengan tidak mengambil keputusan,Mengutamakan hubungan pertemanan,Menunggu arahan tidak resmi,Berpegang pada peraturan dan kepentingan publik,D
356,Preferensi Karier,Pengembangan Diri,"(Kecamatan Z) Untuk meningkatkan kompetensi teknis, saya akan ....",Menunda hingga ada waktu luang panjang,Menunggu penugasan yang relevan,Mengandalkan pengalaman yang sudah ada,Mengikuti pelatihan/sertifikasi dan menerapkannya dalam pekerjaan,D
357,Preferensi Karier,Pengembangan Diri,"(Desa 1) Untuk meningkatkan kompetensi teknis, saya akan ....",Menunda hingga ada waktu luang panjang,Mengikuti pelatihan/sertifikasi dan menerapkannya dalam pekerjaan,Menunggu penugasan yang relevan,Mengandalkan pengalaman yang sudah ada,B
358,Preferensi Karier,Nilai ASN,"(Desa 2) Saat menghadapi konflik kepentingan, saya akan ....",Netral dengan tidak mengambil keputusan,Menunggu arahan tidak resmi,Berpegang pada peraturan dan kepentingan publik,Mengutamakan hubungan pertemanan,C
359,Preferensi Karier,Refleksi Diri,"(Desa 3) Ketika menerima umpan balik kritis dari pimpinan, saya akan ....","Menerima terbuka, mengevaluasi, dan memperbaiki kinerja",Membantah agar pendapat saya diterima,Mengabaikan jika berbeda pendapat,Menceritakan kepada rekan untuk pembelaan,A
360,Preferensi Karier,Nilai ASN,"(Desa 4) Saat menghadapi konflik kepentingan, saya akan ....",Mengutamakan hubungan pertemanan,Menunggu arahan tidak resmi,Netral dengan tidak mengambil keputusan,Berpegang pada peraturan dan kepentingan publik,D
361,Preferensi Karier,Pengembangan Diri,"(Kelurahan A) Untuk meningkatkan kompetensi teknis, saya akan ....",Menunggu penugasan yang relevan,Mengandalkan pengalaman yang sudah ada,Menunda hingga ada waktu luang panjang,Mengikuti pelatihan/sertifikasi dan menerapkannya dalam pekerjaan,D
362,Preferensi Karier,Pengembangan Diri,"(Kelurahan B) Untuk meningkatkan kompetensi teknis, saya akan ....",Menunda hingga ada waktu luang panjang,Mengandalkan pengalaman yang sudah ada,Menunggu penugasan yang relevan,Mengikuti pelatihan/sertifikasi dan menerapkannya dalam pekerjaan,D
363,Preferensi Karier,Nilai ASN,"(Kelurahan C) Saat menghadapi konflik kepentingan, saya akan ....",Berpegang pada peraturan dan kepentingan publik,Mengutamakan hubungan pertemanan,Netral dengan tidak mengambil keputusan,Menunggu arahan tidak resmi,A
364,Preferensi Karier,Pengembangan Diri,"(Kecamatan X) Untuk meningkatkan kompetensi teknis, saya akan ....",Menunda hingga ada waktu luang panjang,Mengikuti pelatihan/sertifikasi dan menerapkannya dalam pekerjaan,Mengandalkan pengalaman yang sudah ada,Menunggu penugasan yang relevan,B
365,Preferensi Karier,Pengembangan Diri,"(Kecamatan Y) Untuk meningkatkan kompetensi teknis, saya akan ....",Mengikuti pelatihan/sertifikasi dan menerapkannya dalam pekerjaan,Mengandalkan pengalaman yang sudah ada,Menunda hingga ada waktu luang panjang,Menunggu penugasan yang relevan,A
366,Preferensi Karier,Orientasi Pelayanan,(Kecamatan Z) Saya merasa paling bermakna dalam melaksanakan tugas ketika ....,Ada kesempatan perjalanan dinas,Mendapatkan penghargaan pribadi,Hasil kerja dirasakan langsung manfaatnya oleh masyarakat,Mendapatkan penilaian kinerja tinggi,C
367,Preferensi Karier,Komitmen Organisasi,"(Desa 1) Dalam keterbatasan anggaran, saya akan ....",Mengupayakan efisiensi tanpa solusi,Mengurangi kualitas layanan publik,Menunda semua kegiatan,Mencari alternatif efisiensi dan berkoordinasi untuk menjaga sasaran,D
368,Preferensi Karier,Komitmen Organisasi,"(Desa 2) Dalam keterbatasan anggaran, saya akan ....",Menunda semua kegiatan,Mengupayakan efisiensi tanpa solusi,Mengurangi kualitas layanan publik,Mencari alternatif efisiensi dan berkoordinasi untuk menjaga sasaran,D
369,Preferensi Karier,Orientasi Pelayanan,(Desa 3) Saya merasa paling bermakna dalam melaksanakan tugas ketika ....,Mendapatkan penghargaan pribadi,Hasil kerja dirasakan langsung manfaatnya oleh masyarakat,Ada kesempatan perjalanan dinas,Mendapatkan penilaian kinerja tinggi,B
370,Preferensi Karier,Orientasi Pelayanan,(Desa 4) Saya merasa paling bermakna dalam melaksanakan tugas ketika ....,Mendapatkan penilaian kinerja tinggi,Mendapatkan penghargaan pribadi,Ada kesempatan perjalanan dinas,Hasil kerja dirasakan langsung manfaatnya oleh masyarakat,D
371,Preferensi Karier,Nilai ASN,"(Kelurahan A) Saat menghadapi konflik kepentingan, saya akan ....",Berpegang pada peraturan dan kepentingan publik,Menunggu arahan tidak resmi,Netral dengan tidak mengambil keputusan,Mengutamakan hubungan pertemanan,A
372,Preferensi Karier,Orientasi Pelayanan,(Kelurahan B) Saya merasa paling bermakna dalam melaksanakan tugas ketika ....,Hasil kerja dirasakan langsung manfaatnya oleh masyarakat,Mendapatkan penilaian kinerja tinggi,Mendapatkan penghargaan pribadi,Ada kesempatan perjalanan dinas,A
373,Preferensi Karier,Nilai ASN,"(Kelurahan C) Saat menghadapi konflik kepentingan, saya akan ....",Mengutamakan hubungan pertemanan,Netral dengan tidak mengambil keputusan,Berpegang pada peraturan dan kepentingan publik,Menunggu arahan tidak resmi,C
374,Preferensi Karier,Orientasi Pelayanan,(Kecamatan X) Saya merasa paling bermakna dalam melaksanakan tugas ketika ....,Hasil kerja dirasakan langsung manfaatnya oleh masyarakat,Ada kesempatan perjalanan dinas,Mendapatkan penilaian kinerja tinggi,Mendapatkan penghargaan pribadi,A
375,Preferensi Karier,Nilai ASN,"(Kecamatan Y) Saat menghadapi konflik kepentingan, saya akan ....",Mengutamakan hubungan pertemanan,Menunggu arahan tidak resmi,Netral dengan tidak mengambil keputusan,Berpegang pada peraturan dan kepentingan publik,D
376,Preferensi Karier,Refleksi Diri,"(Kecamatan Z) Ketika menerima umpan balik kritis dari pimpinan, saya akan ....",Menceritakan kepada rekan untuk pembelaan,Mengabaikan jika berbeda pendapat,"Menerima terbuka, mengevaluasi, dan memperbaiki kinerja",Membantah agar pendapat saya diterima,C
377,Preferensi Karier,Orientasi Pelayanan,(Desa 1) Saya merasa paling bermakna dalam melaksanakan tugas ketika ....,Ada kesempatan perjalanan dinas,Mendapatkan penghargaan pribadi,Hasil kerja dirasakan langsung manfaatnya oleh masyarakat,Mendapatkan penilaian kinerja tinggi,C
378,Preferensi Karier,Orientasi Pelayanan,(Desa 2) Saya merasa paling bermakna dalam melaksanakan tugas ketika ....,Mendapatkan penghargaan pribadi,Hasil kerja dirasakan langsung manfaatnya oleh masyarakat,Ada kesempatan perjalanan dinas,Mendapatkan penilaian kinerja tinggi,B
379,Preferensi Karier,Refleksi Diri,"(Desa 3) Ketika menerima umpan balik kritis dari pimpinan, saya akan ....",Membantah agar pendapat saya diterima,Mengabaikan jika berbeda pendapat,Menceritakan kepada rekan untuk pembelaan,"Menerima terbuka, mengevaluasi, dan memperbaiki kinerja",D
380,Preferensi Karier,Orientasi Pelayanan,(Desa 4) Saya merasa paling bermakna dalam melaksanakan tugas ketika ....,Ada kesempatan perjalanan dinas,Mendapatkan penghargaan pribadi,Mendapatkan penilaian kinerja tinggi,Hasil kerja dirasakan langsung manfaatnya oleh masyarakat,D
381,Preferensi Karier,Refleksi Diri,"(Kelurahan A) Ketika menerima umpan balik kritis dari pimpinan, saya akan ....",Membantah agar pendapat saya diterima,Mengabaikan jika berbeda pendapat,"Menerima terbuka, mengevaluasi, dan memperbaiki kinerja",Menceritakan kepada rekan untuk pembelaan,C
382,Preferensi Karier,Nilai ASN,"(Kelurahan B) Saat menghadapi konflik kepentingan, saya akan ....",Menunggu arahan tidak resmi,Netral dengan tidak mengambil keputusan,Berpegang pada peraturan dan kepentingan publik,Mengutamakan hubungan pertemanan,C
383,Preferensi Karier,Pengembangan Diri,"(Kelurahan C) Untuk meningkatkan kompetensi teknis, saya akan ....",Mengandalkan pengalaman yang sudah ada,Menunggu penugasan yang relevan,Menunda hingga ada waktu luang panjang,Mengikuti pelatihan/sertifikasi dan menerapkannya dalam pekerjaan,D
384,Preferensi Karier,Pengembangan Diri,"(Kecamatan X) Untuk meningkatkan kompetensi teknis, saya akan ....",Menunggu penugasan yang relevan,Mengikuti pelatihan/sertifikasi dan menerapkannya dalam pekerjaan,Mengandalkan pengalaman yang sudah ada,Menunda hingga ada waktu luang panjang,B
385,Preferensi Karier,Komitmen Organisasi,"(Kecamatan Y) Dalam keterbatasan anggaran, saya akan ....",Mengupayakan efisiensi tanpa solusi,Menunda semua kegiatan,Mengurangi kualitas layanan publik,Mencari alternatif efisiensi dan berkoordinasi untuk menjaga sasaran,D
386,Preferensi Karier,Refleksi Diri,"(Kecamatan Z) Ketika menerima umpan balik kritis dari pimpinan, saya akan ....",Mengabaikan jika berbeda pendapat,Membantah agar pendapat saya diterima,"Menerima terbuka, mengevaluasi, dan memperbaiki kinerja",Menceritakan kepada rekan untuk pembelaan,C
387,Preferensi Karier,Refleksi Diri,"(Desa 1) Ketika menerima umpan balik kritis dari pimpinan, saya akan ....","Menerima terbuka, mengevaluasi, dan memperbaiki kinerja",Membantah agar pendapat saya diterima,Menceritakan kepada rekan untuk pembelaan,Mengabaikan jika berbeda pendapat,A
388,Preferensi Karier,Orientasi Pelayanan,(Desa 2) Saya merasa paling bermakna dalam melaksanakan tugas ketika ....,Mendapatkan penghargaan pribadi,Ada kesempatan perjalanan dinas,Mendapatkan penilaian kinerja tinggi,Hasil kerja dirasakan langsung manfaatnya oleh masyarakat,D
389,Preferensi Karier,Refleksi Diri,"(Desa 3) Ketika menerima umpan balik kritis dari pimpinan, saya akan ....","Menerima terbuka, mengevaluasi, dan memperbaiki kinerja",Membantah agar pendapat saya diterima,Mengabaikan jika berbeda pendapat,Menceritakan kepada rekan untuk pembelaan,A
390,Preferensi Karier,Pengembangan Diri,"(Desa 4) Untuk meningkatkan kompetensi teknis, saya akan ....",Menunda hingga ada waktu luang panjang,Mengikuti pelatihan/sertifikasi dan menerapkannya dalam pekerjaan,Menunggu penugasan yang relevan,Mengandalkan pengalaman yang sudah ada,B
391,Preferensi Karier,Komitmen Organisasi,"(Kelurahan A) Dalam keterbatasan anggaran, saya akan ....",Mengupayakan efisiensi tanpa solusi,Menunda semua kegiatan,Mencari alternatif efisiensi dan berkoordinasi untuk menjaga sasaran,Mengurangi kualitas layanan publik,C
392,Preferensi Karier,Orientasi Pelayanan,(Kelurahan B) Saya merasa paling bermakna dalam melaksanakan tugas ketika ....,Mendapatkan penilaian kinerja tinggi,Mendapatkan penghargaan pribadi,Ada kesempatan perjalanan dinas,Hasil kerja dirasakan langsung manfaatnya oleh masyarakat,D
393,Preferensi Karier,Komitmen Organisasi,"(Kelurahan C) Dalam keterbatasan anggaran, saya akan ....",Mencari alternatif efisiensi dan berkoordinasi untuk menjaga sasaran,Mengupayakan efisiensi tanpa solusi,Menunda semua kegiatan,Mengurangi kualitas layanan publik,A
394,Preferensi Karier,Nilai ASN,"(Kecamatan X) Saat menghadapi konflik kepentingan, saya akan ....",Mengutamakan hubungan pertemanan,Netral dengan tidak mengambil keputusan,Berpegang pada peraturan dan kepentingan publik,Menunggu arahan tidak resmi,C
395,Preferensi Karier,Refleksi Diri,"(Kecamatan Y) Ketika menerima umpan balik kritis dari pimpinan, saya akan ....",Mengabaikan jika berbeda pendapat,"Menerima terbuka, mengevaluasi, dan memperbaiki kinerja",Menceritakan kepada rekan untuk pembelaan,Membantah agar pendapat saya diterima,B
396,Preferensi Karier,Pengembangan Diri,"(Kecamatan Z) Untuk meningkatkan kompetensi teknis, saya akan ....",Mengandalkan pengalaman yang sudah ada,Mengikuti pelatihan/sertifikasi dan menerapkannya dalam pekerjaan,Menunda hingga ada waktu luang panjang,Menunggu penugasan yang relevan,B
397,Preferensi Karier,Refleksi Diri,"(Desa 1) Ketika menerima umpan balik kritis dari pimpinan, saya akan ....",Membantah agar pendapat saya diterima,Mengabaikan jika berbeda pendapat,Menceritakan kepada rekan untuk pembelaan,"Menerima terbuka, mengevaluasi, dan memperbaiki kinerja",D
398,Preferensi Karier,Komitmen Organisasi,"(Desa 2) Dalam keterbatasan anggaran, saya akan ....",Mengupayakan efisiensi tanpa solusi,Mengurangi kualitas layanan publik,Menunda semua kegiatan,Mencari alternatif efisiensi dan berkoordinasi untuk menjaga sasaran,D
399,Preferensi Karier,Orientasi Pelayanan,(Desa 3) Saya merasa paling bermakna dalam melaksanakan tugas ketika ....,Ada kesempatan perjalanan dinas,Mendapatkan penilaian kinerja tinggi,Mendapatkan penghargaan pribadi,Hasil kerja dirasakan langsung manfaatnya oleh masyarakat,D
400,Preferensi Karier,Orientasi Pelayanan,(Desa 4) Saya merasa paling bermakna dalam melaksanakan tugas ketika ....,Hasil kerja dirasakan langsung manfaatnya oleh masyarakat,Mendapatkan penghargaan pribadi,Mendapatkan penilaian kinerja tinggi,Ada kesempatan perjalanan dinas,A
